BubbleSort,100,1000,10000,100000,1000000,,,,,,
Random,0,0.008,0.826,82.726,8378.47,,,,,,
In order,0,0.006,0.608,55.588,5684.46,,,,,,
Backwards,0.001,0.008,0.818,81.728,8295.79,,,,,,
Average,0.000333333,0.007333333,0.750666667,73.34733333,7452.906667,,,,,,
,,,,,,,,,,,
Selection,100,1000,10000,100000,1000000,,,,,,
Random,0.001,0.004,0.461,46.143,4716.75,,,,,,
In order,0,0.004,0.461,46.244,4751.32,,,,,,
Backwards,0,0.005,0.461,46.146,4709.84,,,,,,
Average,0.000333333,0.004333333,0.461,46.17766667,4725.97,,,,,,
,,,,,,,,,,,
Quick,100,1000,10000,100000,1000000,,,,,,
Random,0,0,0.001,0.013,0.119,,,,,,
In order,0,0,0.001,0.029,0.092,,,,,,
Backwards,0,0,0,0.029,0.091,,,,,,
Average,0,0,0.000666667,0.023666667,0.100666667,,,,,,
